datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2021-03-31T01:28:33.214178+00:00,0.48,0.34,0.06,0.17
2021-03-31T01:29:33.299201+00:00,0.48,0.39,0.06,0.17
2021-03-31T01:30:33.368265+00:00,0.48,0.38,0.03,0.17
2021-03-31T01:31:33.437323+00:00,0.41,0.33,0.07,0.17
2021-03-31T01:32:33.531323+00:00,0.55,0.36,0.08,0.19
2021-03-31T01:33:33.574449+00:00,0.5,0.33,0.07,0.18
2021-03-31T01:34:33.692643+00:00,0.48,0.37,0.46,0.26
2021-03-31T01:35:33.770072+00:00,0.44,0.35,0.06,0.18
2021-03-31T01:36:33.804807+00:00,0.53,0.39,0.07,0.17
2021-03-31T01:37:33.942096+00:00,0.44,0.34,0.04,0.17
2021-03-31T01:38:33.998303+00:00,0.43,0.39,0.09,0.2
2021-03-31T01:39:34.116408+00:00,0.55,0.36,0.06,0.2
2021-03-31T01:40:34.172047+00:00,0.52,0.39,0.12,0.18
2021-03-31T01:41:34.167532+00:00,0.44,0.43,0.09,0.17
2021-03-31T01:42:32.635049+00:00,0.46,0.36,0.07,0.18
2021-03-31T01:43:32.694699+00:00,0.44,0.39,0.09,0.18
2021-03-31T01:44:32.762533+00:00,0.49,0.35,0.08,0.18
2021-03-31T01:45:32.812771+00:00,0.51,0.35,0.07,0.16
2021-03-31T01:46:32.918052+00:00,0.58,0.54,0.05,0.19
2021-03-31T01:47:33.029095+00:00,0.53,0.4,0.09,0.17
2021-03-31T01:48:33.096172+00:00,0.6,0.35,0.08,0.17
2021-03-31T01:49:33.221500+00:00,0.49,0.35,0.07,0.19
2021-03-31T01:50:33.283155+00:00,0.4,0.35,0.07,0.17
2021-03-31T01:51:33.300963+00:00,0.56,0.4,0.08,0.16
2021-03-31T01:52:33.387230+00:00,0.52,0.38,0.08,0.19
2021-03-31T01:53:33.398780+00:00,0.47,0.41,0.08,0.17
2021-03-31T01:54:33.512804+00:00,0.45,0.49,0.08,0.18
2021-03-31T01:55:33.591810+00:00,0.44,0.42,0.11,0.17
2021-03-31T01:56:33.654469+00:00,0.52,0.35,0.06,0.18
2021-03-31T01:57:33.713877+00:00,0.43,0.35,0.08,0.18
2021-03-31T01:58:33.811854+00:00,0.46,0.36,0.08,0.19
2021-03-31T01:59:33.922424+00:00,0.5,0.36,0.08,0.17
2021-03-31T02:00:33.994168+00:00,0.54,0.33,0.08,0.18
2021-03-31T02:01:34.068345+00:00,0.53,0.35,0.08,0.18
2021-03-31T02:02:34.072893+00:00,0.52,0.47,0.1,0.17
2021-03-31T02:03:34.098414+00:00,0.46,0.41,0.06,0.19
2021-03-31T02:04:34.134559+00:00,0.5,0.33,0.09,0.17
2021-03-31T02:05:34.187973+00:00,0.47,0.36,0.09,0.17
2021-03-31T02:06:32.671075+00:00,0.46,0.35,0.06,0.18
2021-03-31T02:07:32.728144+00:00,0.46,0.44,0.1,0.18
2021-03-31T02:08:32.777414+00:00,0.44,0.36,0.07,0.16
2021-03-31T02:09:32.865274+00:00,0.43,0.33,0.08,0.17
2021-03-31T02:10:32.873563+00:00,0.53,0.35,0.06,0.2
2021-03-31T02:11:32.945772+00:00,0.39,0.33,0.1,0.2
2021-03-31T02:12:33.050206+00:00,0.52,0.36,0.07,0.21
2021-03-31T02:13:33.100855+00:00,0.48,0.39,0.08,0.17
2021-03-31T02:14:33.205559+00:00,0.46,0.38,0.07,0.17
2021-03-31T02:15:33.315825+00:00,0.49,0.36,0.05,0.17
2021-03-31T02:16:33.364015+00:00,0.5,0.35,0.06,0.17
2021-03-31T02:17:33.392702+00:00,0.47,0.37,0.08,0.16
2021-03-31T02:18:33.441243+00:00,0.47,0.39,0.07,0.17
2021-03-31T02:19:33.528569+00:00,0.49,0.33,0.07,0.19
2021-03-31T02:20:33.560858+00:00,0.49,0.39,0.08,0.18
2021-03-31T02:21:33.701565+00:00,0.56,0.37,0.04,0.18
2021-03-31T02:22:33.693045+00:00,0.46,0.35,0.08,0.19
2021-03-31T02:23:33.771802+00:00,0.46,0.36,0.07,0.17
2021-03-31T02:24:33.867450+00:00,0.53,0.37,0.06,0.17
2021-03-31T02:25:33.938668+00:00,0.51,0.46,0.06,0.18
2021-03-31T02:26:34.001412+00:00,0.49,0.33,0.05,0.18
2021-03-31T02:27:34.040828+00:00,0.5,0.31,0.07,0.17
2021-03-31T02:28:34.147460+00:00,0.49,0.34,0.06,0.26
2021-03-31T02:29:34.199016+00:00,0.49,0.37,0.08,0.25
2021-03-31T02:30:32.636600+00:00,0.52,0.42,0.06,0.19
2021-03-31T02:31:32.697735+00:00,0.48,0.41,0.05,0.18
2021-03-31T02:32:32.807573+00:00,0.57,0.37,0.07,0.19
2021-03-31T02:33:32.834969+00:00,0.46,0.42,0.08,0.17
2021-03-31T02:34:32.857951+00:00,0.52,0.38,0.07,0.18
2021-03-31T02:35:32.924256+00:00,0.56,0.36,0.07,0.18
2021-03-31T02:36:33.037520+00:00,0.48,0.39,0.08,0.18
2021-03-31T02:37:33.083761+00:00,0.56,0.34,0.07,0.19
2021-03-31T02:38:33.173030+00:00,0.54,0.36,0.06,0.19
2021-03-31T02:39:33.228226+00:00,0.54,0.34,0.06,0.19
2021-03-31T02:40:33.298841+00:00,0.48,0.33,0.09,0.19
2021-03-31T02:41:33.396189+00:00,0.55,0.37,0.09,0.18
2021-03-31T02:42:33.465110+00:00,0.45,0.33,0.07,0.18
2021-03-31T02:43:33.506700+00:00,0.5,0.36,0.08,0.19
2021-03-31T02:44:33.630341+00:00,0.51,0.35,0.1,0.18
2021-03-31T02:45:33.728179+00:00,0.49,0.37,0.1,0.19
2021-03-31T02:46:33.836382+00:00,0.41,0.38,0.08,0.18
2021-03-31T02:47:33.899600+00:00,0.46,0.36,0.08,0.19
2021-03-31T02:48:33.987094+00:00,0.45,0.36,0.07,0.18
2021-03-31T02:49:34.032317+00:00,0.45,0.37,0.07,0.18
2021-03-31T02:50:34.147651+00:00,0.45,0.35,0.09,0.17
2021-03-31T02:51:34.224426+00:00,0.5,0.39,0.06,0.17
2021-03-31T02:52:32.686344+00:00,0.51,0.36,0.05,0.17
2021-03-31T02:53:32.747482+00:00,0.49,0.35,0.11,0.16
2021-03-31T02:54:32.755867+00:00,0.58,0.39,0.07,0.17
2021-03-31T02:55:32.789854+00:00,0.45,0.31,0.06,0.17
2021-03-31T02:56:32.839890+00:00,0.47,0.38,0.07,0.19
2021-03-31T02:57:32.934678+00:00,0.46,0.33,0.08,0.19
2021-03-31T02:58:33.039971+00:00,0.41,0.4,0.08,0.18
2021-03-31T02:59:33.113207+00:00,0.51,0.34,0.08,0.17
2021-03-31T03:00:33.241779+00:00,0.53,0.34,0.09,0.17
2021-03-31T03:01:33.272154+00:00,0.45,0.34,0.06,0.17
2021-03-31T03:02:33.373713+00:00,0.38,0.3,0.07,0.19
2021-03-31T03:03:33.435613+00:00,0.49,0.32,0.1,0.19
2021-03-31T03:04:33.497455+00:00,0.5,0.34,0.08,0.18
2021-03-31T03:05:33.569205+00:00,0.49,0.34,0.09,0.18
2021-03-31T03:06:33.708128+00:00,0.47,0.45,0.1,0.19
2021-03-31T03:07:33.806585+00:00,0.47,0.33,0.07,0.18
2021-03-31T03:08:33.926017+00:00,0.45,0.32,0.07,0.19
2021-03-31T03:09:34.032806+00:00,0.45,0.42,0.06,0.23
2021-03-31T03:10:34.086948+00:00,0.51,0.31,0.05,0.19
2021-03-31T03:11:34.189677+00:00,0.48,0.37,0.05,0.2
2021-03-31T03:12:32.662593+00:00,0.51,0.33,0.06,0.19
2021-03-31T03:13:32.779880+00:00,0.53,0.34,0.07,0.19
2021-03-31T03:14:32.787190+00:00,0.62,0.31,0.04,0.17
2021-03-31T03:15:32.796064+00:00,0.47,0.37,0.05,0.17
2021-03-31T03:16:32.898280+00:00,0.47,0.42,0.08,0.16
2021-03-31T03:17:32.941226+00:00,0.47,0.35,0.08,0.16
2021-03-31T03:18:32.950603+00:00,0.48,0.34,0.09,0.17
2021-03-31T03:19:33.064027+00:00,0.42,0.37,0.1,0.19
2021-03-31T03:20:33.082919+00:00,0.44,0.34,0.08,0.18
2021-03-31T03:21:33.183219+00:00,0.43,0.48,0.09,0.17
2021-03-31T03:22:33.232726+00:00,0.53,0.39,0.04,0.17
2021-03-31T03:23:33.287132+00:00,0.45,0.31,0.08,0.18
2021-03-31T03:24:33.338175+00:00,0.51,0.47,0.08,0.17
2021-03-31T03:25:33.428505+00:00,0.53,0.32,0.09,0.17
2021-03-31T03:26:33.480304+00:00,0.47,0.36,0.06,0.19
2021-03-31T03:27:33.563829+00:00,0.44,0.35,0.06,0.19
2021-03-31T03:28:33.601703+00:00,0.49,0.35,0.07,0.18
2021-03-31T03:29:33.675650+00:00,0.48,0.35,0.1,0.17
2021-03-31T03:30:33.686673+00:00,0.5,0.35,0.06,0.18
2021-03-31T03:31:33.734578+00:00,0.45,0.35,0.07,0.17
2021-03-31T03:32:33.747375+00:00,0.47,0.42,0.1,0.17
2021-03-31T03:33:33.833934+00:00,0.52,0.33,0.05,0.18
2021-03-31T03:34:33.909393+00:00,0.45,0.32,0.06,0.17
2021-03-31T03:35:33.973799+00:00,0.45,0.36,0.09,0.18
2021-03-31T03:36:34.115112+00:00,0.69,0.43,0.06,0.19
2021-03-31T03:37:34.105802+00:00,0.44,0.35,0.06,0.17
2021-03-31T03:38:34.157879+00:00,0.44,0.35,0.07,0.17
2021-03-31T03:39:32.672106+00:00,0.41,0.4,0.09,0.18
2021-03-31T03:40:32.770040+00:00,0.5,0.41,0.08,0.16
2021-03-31T03:41:32.834051+00:00,0.49,0.4,0.07,0.17
2021-03-31T03:42:32.904665+00:00,0.45,0.4,0.07,0.16
2021-03-31T03:43:33.008633+00:00,0.45,0.39,0.08,0.17
2021-03-31T03:44:33.071162+00:00,0.55,0.38,0.05,0.18
2021-03-31T03:45:33.168571+00:00,0.45,0.36,0.09,0.17
2021-03-31T03:46:33.218226+00:00,0.44,0.39,0.06,0.17
2021-03-31T03:47:33.203038+00:00,0.41,0.37,0.04,0.18
2021-03-31T03:48:33.313836+00:00,0.54,0.33,0.08,0.17
2021-03-31T03:49:33.393515+00:00,0.45,0.37,0.09,0.17
2021-03-31T03:50:33.445406+00:00,0.48,0.37,0.07,0.18
2021-03-31T03:51:33.546704+00:00,0.43,0.32,0.1,0.18
2021-03-31T03:52:33.619427+00:00,0.47,0.36,0.08,0.17
2021-03-31T03:53:33.679971+00:00,0.45,0.32,0.1,0.17
2021-03-31T03:54:33.796046+00:00,0.46,0.38,0.07,0.17
2021-03-31T03:55:34.151521+00:00,0.54,0.3,0.1,0.16
2021-03-31T03:56:32.618606+00:00,0.5,0.32,0.1,0.18
2021-03-31T03:57:32.719359+00:00,0.49,0.31,0.08,0.16
2021-03-31T03:58:32.806143+00:00,0.46,0.37,0.09,0.18
2021-03-31T03:59:32.880588+00:00,0.51,0.34,0.12,0.17
2021-03-31T04:00:32.933967+00:00,0.49,0.36,0.07,0.17
2021-03-31T04:01:32.978389+00:00,0.46,0.39,0.09,0.17
2021-03-31T04:02:33.079975+00:00,0.49,0.38,0.09,0.17
2021-03-31T04:03:33.120410+00:00,0.42,0.32,0.07,0.18
2021-03-31T04:04:33.213757+00:00,0.42,0.43,0.13,0.17
2021-03-31T04:05:33.296914+00:00,0.42,0.38,0.08,0.19
2021-03-31T04:06:33.404033+00:00,0.51,0.32,0.07,0.18
2021-03-31T04:07:33.478210+00:00,0.43,0.33,0.06,0.17
2021-03-31T04:08:33.479954+00:00,0.45,0.37,0.05,0.18
2021-03-31T04:09:33.488566+00:00,0.43,0.39,0.07,0.19
2021-03-31T04:10:33.526988+00:00,0.46,0.34,0.04,0.17
2021-03-31T04:11:33.617070+00:00,0.42,0.39,0.08,0.17
2021-03-31T04:12:33.670870+00:00,0.46,0.34,0.08,0.21
2021-03-31T04:13:33.690926+00:00,0.44,0.36,0.07,0.16
2021-03-31T04:14:33.746454+00:00,0.47,0.36,0.07,0.18
2021-03-31T04:15:33.834310+00:00,0.5,0.38,0.1,0.17
2021-03-31T04:16:33.870143+00:00,0.46,0.3,0.07,0.17
2021-03-31T04:17:33.957760+00:00,0.5,0.34,0.09,0.19
2021-03-31T04:18:34.018866+00:00,0.47,0.33,0.08,0.19
2021-03-31T04:19:34.081150+00:00,0.61,0.38,0.07,0.21
2021-03-31T04:20:34.187037+00:00,0.49,0.34,0.08,0.18
2021-03-31T04:21:32.622569+00:00,0.44,0.34,0.07,0.18
2021-03-31T04:22:32.767309+00:00,0.49,0.37,0.1,0.18
2021-03-31T04:23:32.831246+00:00,0.56,0.3,0.09,0.19
2021-03-31T04:24:32.880147+00:00,0.48,0.35,0.08,0.19
2021-03-31T04:25:32.949774+00:00,0.51,0.39,0.07,0.18
2021-03-31T04:26:33.056506+00:00,0.5,0.33,0.05,0.18
2021-03-31T04:27:33.157459+00:00,0.46,0.34,0.09,0.2
2021-03-31T04:28:33.236782+00:00,0.43,0.38,0.07,0.2
2021-03-31T04:29:33.334818+00:00,0.51,0.33,0.06,0.19
2021-03-31T04:30:33.394269+00:00,0.49,0.34,0.07,0.18
2021-03-31T04:31:33.404740+00:00,0.53,0.37,0.08,0.26
2021-03-31T04:32:33.455082+00:00,0.58,0.31,0.07,0.19
2021-03-31T04:33:33.530990+00:00,0.62,0.35,0.07,0.17
2021-03-31T04:34:33.563179+00:00,0.53,0.35,0.05,0.18
2021-03-31T04:35:33.639831+00:00,0.5,0.32,0.08,0.18
2021-03-31T04:36:33.693045+00:00,0.63,0.38,0.04,0.18
2021-03-31T04:37:33.788434+00:00,0.54,0.36,0.09,0.17
2021-03-31T04:38:33.852924+00:00,0.54,0.33,0.04,0.19
2021-03-31T04:39:33.927380+00:00,0.5,0.31,0.08,0.18
2021-03-31T04:40:34.026221+00:00,0.5,0.31,0.1,0.21
2021-03-31T04:41:34.139623+00:00,0.53,0.36,0.07,0.19
2021-03-31T04:42:34.198983+00:00,0.57,0.34,0.1,0.17
2021-03-31T04:43:32.666009+00:00,0.51,0.32,0.08,0.18
2021-03-31T04:44:32.725494+00:00,0.53,0.36,0.07,0.2
2021-03-31T04:45:32.843946+00:00,0.57,0.34,0.05,0.18
2021-03-31T04:46:32.914345+00:00,0.52,0.54,0.09,0.2
2021-03-31T04:47:32.984929+00:00,0.57,0.35,0.05,0.18
2021-03-31T04:48:33.091653+00:00,0.51,0.32,0.07,0.19
2021-03-31T04:49:33.198977+00:00,0.54,0.34,0.1,0.17
2021-03-31T04:50:33.291773+00:00,0.51,0.35,0.02,0.2
2021-03-31T04:51:33.352620+00:00,0.52,0.34,0.05,0.18
2021-03-31T04:52:33.433350+00:00,0.55,0.34,0.07,0.17
2021-03-31T04:53:33.477832+00:00,0.55,0.34,0.06,0.17
2021-03-31T04:54:33.531180+00:00,0.51,0.35,0.08,0.17
2021-03-31T04:55:33.611072+00:00,0.52,0.33,0.04,0.18
2021-03-31T04:56:33.745979+00:00,0.52,0.38,0.06,0.17
2021-03-31T04:57:33.848633+00:00,0.51,0.33,0.05,0.17
2021-03-31T04:58:33.925082+00:00,0.49,0.32,0.05,0.19
2021-03-31T04:59:33.990748+00:00,0.45,0.34,0.09,0.18
2021-03-31T05:00:34.071213+00:00,0.56,0.34,0.11,0.18
2021-03-31T05:01:34.136964+00:00,0.55,0.36,0.06,0.19
2021-03-31T05:02:34.209402+00:00,0.5,0.32,0.07,0.18
2021-03-31T05:03:32.626834+00:00,0.57,0.32,0.09,0.18
2021-03-31T05:04:32.677876+00:00,0.59,0.33,0.07,0.18
2021-03-31T05:05:32.722133+00:00,0.58,0.34,0.09,0.18
2021-03-31T05:06:32.805677+00:00,0.55,0.33,0.09,0.18
2021-03-31T05:07:32.859852+00:00,0.5,0.63,0.1,0.17
2021-03-31T05:08:32.959302+00:00,0.53,0.31,0.05,0.19
2021-03-31T05:09:33.037865+00:00,0.5,0.33,0.08,0.16
2021-03-31T05:10:33.097617+00:00,0.58,0.33,0.09,0.19
2021-03-31T05:11:33.149860+00:00,0.51,0.31,0.08,0.18
2021-03-31T05:12:33.235278+00:00,0.54,0.31,0.07,0.19
2021-03-31T05:13:33.304497+00:00,0.54,0.32,0.1,0.18
2021-03-31T05:14:33.392658+00:00,0.52,0.31,0.04,0.18
2021-03-31T05:15:33.463782+00:00,0.55,0.38,0.07,0.19
2021-03-31T05:16:33.548568+00:00,0.52,0.35,0.09,0.17
2021-03-31T05:17:33.612937+00:00,0.55,0.35,0.07,0.19
2021-03-31T05:18:33.689405+00:00,0.52,0.36,0.04,0.2
2021-03-31T05:19:33.740082+00:00,0.55,0.41,0.06,0.17
2021-03-31T05:20:33.770165+00:00,0.58,0.33,0.07,0.19
2021-03-31T05:21:33.846689+00:00,0.52,0.33,0.08,0.19
2021-03-31T05:22:33.891966+00:00,0.49,0.37,0.05,0.18
2021-03-31T05:23:33.879781+00:00,0.62,0.33,0.09,0.18
2021-03-31T05:24:33.926440+00:00,0.48,0.31,0.09,0.18
2021-03-31T05:25:33.972067+00:00,0.59,0.34,0.07,0.18
2021-03-31T05:26:34.054778+00:00,0.48,0.3,0.07,0.19
2021-03-31T05:27:34.116431+00:00,0.52,0.36,0.09,0.17
2021-03-31T05:28:32.621699+00:00,0.48,0.37,0.05,0.19
2021-03-31T05:29:32.693148+00:00,0.48,0.33,0.07,0.17
2021-03-31T05:30:32.737173+00:00,0.49,0.33,0.07,0.17
2021-03-31T05:31:32.823294+00:00,0.47,0.35,0.09,0.17
2021-03-31T05:32:32.907979+00:00,0.48,0.44,0.06,0.17
2021-03-31T05:33:32.938390+00:00,0.44,0.31,0.09,0.16
2021-03-31T05:34:33.052167+00:00,0.44,0.32,0.07,0.16
2021-03-31T05:35:33.034605+00:00,0.48,0.35,0.07,0.17
2021-03-31T05:36:33.211203+00:00,0.45,0.37,0.06,0.16
2021-03-31T05:37:33.237216+00:00,0.47,0.38,0.08,0.17
2021-03-31T05:38:33.346454+00:00,0.47,0.44,0.06,0.17
2021-03-31T05:39:33.426090+00:00,0.45,0.39,0.1,0.16
2021-03-31T05:40:33.502516+00:00,0.45,0.38,0.05,0.17
2021-03-31T05:41:33.561349+00:00,0.45,0.44,0.12,0.15
2021-03-31T05:42:33.627136+00:00,0.53,0.33,0.08,0.17
2021-03-31T05:43:33.700501+00:00,0.52,0.35,0.06,0.17
2021-03-31T05:44:33.782181+00:00,0.46,0.36,0.1,0.17
2021-03-31T05:45:33.873842+00:00,0.46,0.33,0.08,0.16
2021-03-31T05:46:33.914928+00:00,0.46,0.34,0.06,0.16
2021-03-31T05:47:33.972054+00:00,0.49,0.36,0.09,0.16
2021-03-31T05:48:34.072980+00:00,0.47,0.39,0.06,0.16
2021-03-31T05:49:34.133024+00:00,0.52,0.35,0.05,0.18
2021-03-31T05:50:34.183133+00:00,0.47,0.35,0.07,0.16
2021-03-31T05:51:32.633213+00:00,0.51,0.33,0.08,0.16
2021-03-31T05:52:32.692626+00:00,0.45,0.32,0.06,0.17
2021-03-31T05:53:32.756951+00:00,0.47,0.35,0.06,0.17
2021-03-31T05:54:32.847755+00:00,0.48,0.35,0.12,0.17
2021-03-31T05:55:32.927645+00:00,0.6,0.36,0.08,0.17
2021-03-31T05:56:32.998567+00:00,0.47,0.31,0.07,0.17
2021-03-31T05:57:33.065645+00:00,0.45,0.38,0.09,0.17
2021-03-31T05:58:33.131377+00:00,0.51,0.35,0.1,0.17
2021-03-31T05:59:33.219980+00:00,0.48,0.34,0.1,0.17
2021-03-31T06:00:33.276009+00:00,0.45,0.35,0.08,0.19
2021-03-31T06:01:33.356658+00:00,0.5,0.32,0.07,0.17
2021-03-31T06:02:33.388789+00:00,0.48,0.33,0.05,0.17
2021-03-31T06:03:33.410787+00:00,0.49,0.34,0.08,0.22
2021-03-31T06:04:33.495933+00:00,0.48,0.33,0.06,0.17
2021-03-31T06:05:33.614060+00:00,0.47,0.3,0.07,0.17
2021-03-31T06:06:33.668106+00:00,0.51,0.38,0.08,0.18
2021-03-31T06:07:33.740653+00:00,0.48,0.36,0.03,0.16
2021-03-31T06:08:33.818835+00:00,0.49,0.32,0.07,0.16
2021-03-31T06:09:33.912043+00:00,0.47,0.39,0.07,0.17
2021-03-31T06:10:33.940245+00:00,0.47,0.34,0.07,0.18
2021-03-31T06:11:34.037172+00:00,0.47,0.34,0.11,0.18
2021-03-31T06:12:34.100179+00:00,0.43,0.37,0.07,0.17
2021-03-31T06:13:34.184959+00:00,0.49,0.35,0.06,0.16
2021-03-31T06:14:34.182285+00:00,0.46,0.33,0.06,0.17
2021-03-31T06:15:32.649780+00:00,0.49,0.33,0.06,0.18
2021-03-31T06:16:32.701145+00:00,0.48,0.34,0.07,0.16
2021-03-31T06:17:32.712563+00:00,0.45,0.33,0.08,0.18
2021-03-31T06:18:33.600106+00:00,0.45,0.34,0.06,0.17
2021-03-31T06:19:33.659004+00:00,0.46,0.44,0.04,0.16
2021-03-31T06:20:33.710914+00:00,0.41,0.35,0.06,0.16
2021-03-31T06:21:33.750512+00:00,0.42,0.31,0.06,0.16
2021-03-31T06:22:33.864111+00:00,0.43,0.32,0.06,0.18
2021-03-31T06:23:33.935590+00:00,0.41,0.34,0.06,0.16
2021-03-31T06:24:34.013355+00:00,0.45,0.32,0.05,0.16
2021-03-31T06:25:34.083032+00:00,0.44,0.35,0.08,0.16
2021-03-31T06:26:34.129974+00:00,0.41,0.34,0.06,0.16
