datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-03-22T00:00:08.480945+00:00,0.48,0.32,0.07,0.17
2022-03-22T00:00:18.640837+00:00,0.39,0.34,0.09,0.19
2022-03-22T00:00:28.545571+00:00,0.37,0.3,0.04,0.17
2022-03-22T00:00:38.621205+00:00,0.44,0.31,0.07,0.11
2022-03-22T00:00:48.508147+00:00,0.39,0.34,0.08,0.1
2022-03-22T00:00:58.428362+00:00,0.45,0.29,0.03,0.11
2022-03-22T00:01:08.300606+00:00,0.48,0.42,0.06,0.1
2022-03-22T00:01:18.151503+00:00,0.32,0.33,0.06,0.11
2022-03-22T00:01:28.027488+00:00,0.4,0.34,0.05,0.11
2022-03-22T00:01:37.903877+00:00,0.45,0.25,0.08,0.1
2022-03-22T00:01:47.802039+00:00,0.37,0.28,0.04,0.18
2022-03-22T00:01:57.673469+00:00,0.39,0.34,0.02,0.12
2022-03-22T00:02:09.165158+00:00,0.34,0.5,0.04,0.11
2022-03-22T00:02:19.040214+00:00,0.34,0.33,0.05,0.1
2022-03-22T00:02:28.954250+00:00,0.32,0.27,0.09,0.12
2022-03-22T00:02:38.827721+00:00,0.36,0.42,0.05,0.13
2022-03-22T00:02:48.696467+00:00,0.32,0.69,0.04,0.11
2022-03-22T00:02:58.600546+00:00,0.29,0.29,0.05,0.1
2022-03-22T00:03:08.536562+00:00,0.37,0.4,0.1,0.14
2022-03-22T00:03:18.395383+00:00,0.43,0.31,0.06,0.21
2022-03-22T00:03:28.142468+00:00,0.42,0.3,0.06,0.17
2022-03-22T00:03:38.489729+00:00,0.41,0.37,0.05,0.1
2022-03-22T00:03:47.859929+00:00,0.46,0.29,0.06,0.17
2022-03-22T00:03:57.816766+00:00,0.42,0.42,0.07,0.13
2022-03-22T00:04:07.982163+00:00,0.28,0.45,0.07,0.11
2022-03-22T00:04:18.174078+00:00,0.28,0.25,0.08,0.17
2022-03-22T00:04:28.336075+00:00,0.31,0.38,0.04,0.17
2022-03-22T00:04:38.232424+00:00,0.36,0.32,0.02,0.21
2022-03-22T00:04:48.403626+00:00,0.3,0.31,0.03,0.17
2022-03-22T00:04:58.280734+00:00,0.43,0.45,0.03,0.12
2022-03-22T00:05:08.206064+00:00,0.62,0.25,0.03,0.11
2022-03-22T00:05:18.354067+00:00,0.36,0.32,0.07,0.15
2022-03-22T00:05:28.225059+00:00,0.36,0.26,0.02,0.11
2022-03-22T00:05:38.123366+00:00,0.42,0.23,0.02,0.12
