datetimeisoformat;Ch1-S;Ch2-D;PC3;PE4
2022-03-29T01:25:05.334371+00:00;0.27;0.24;0.06;0.15;
2022-03-29T01:26:05.814171+00:00;0.28;0.30;0.04;0.14;
2022-03-29T01:27:04.676782+00:00;0.30;0.30;0.06;0.11;
2022-03-29T01:28:05.104277+00:00;0.33;0.33;0.04;0.11;
2022-03-29T01:29:05.557723+00:00;0.32;0.27;0.02;0.10;
2022-03-29T01:30:06.056363+00:00;0.32;0.27;0.07;0.11;
2022-03-29T01:31:04.925329+00:00;0.31;0.32;0.06;0.10;
2022-03-29T01:32:05.362391+00:00;0.35;0.34;0.06;0.12;
2022-03-29T01:33:05.987299+00:00;0.40;0.51;0.04;0.12;
2022-03-29T01:34:04.885671+00:00;0.32;0.23;0.06;0.11;
2022-03-29T01:35:05.367757+00:00;0.32;0.37;0.05;0.10;
2022-03-29T01:36:05.909509+00:00;0.32;0.30;0.03;0.12;
2022-03-29T01:37:04.780698+00:00;0.39;0.32;0.04;0.10;
2022-03-29T01:38:05.326782+00:00;0.33;0.43;0.05;0.12;
2022-03-29T01:39:05.805961+00:00;0.38;0.34;0.04;0.12;
2022-03-29T01:40:04.663516+00:00;0.39;0.50;0.04;0.11;
2022-03-29T01:41:05.122483+00:00;0.39;0.31;0.05;0.10;
2022-03-29T01:42:05.588148+00:00;0.30;0.30;0.05;0.11;
2022-03-29T01:43:06.062051+00:00;0.40;0.31;0.03;0.13;
2022-03-29T01:44:04.845533+00:00;0.57;0.28;0.05;0.11;
2022-03-29T01:45:05.311538+00:00;0.37;0.27;0.05;0.18;
2022-03-29T01:46:05.800570+00:00;0.26;0.24;0.04;0.10;
2022-03-29T01:47:04.807497+00:00;0.34;0.39;0.04;0.11;
2022-03-29T01:48:05.363060+00:00;0.33;0.54;0.08;0.11;
2022-03-29T01:49:05.816828+00:00;0.36;0.43;0.04;0.11;
2022-03-29T01:50:04.675745+00:00;0.56;0.46;0.04;0.10;
2022-03-29T01:51:05.202078+00:00;0.34;0.28;0.08;0.14;
2022-03-29T01:52:05.670447+00:00;0.35;0.29;0.04;0.12;
2022-03-29T01:53:04.837771+00:00;0.29;0.37;0.04;0.16;
2022-03-29T01:54:05.344938+00:00;0.30;0.27;0.04;0.10;
2022-03-29T01:55:05.803360+00:00;0.33;0.28;0.06;0.10;
