datetimeisoformat,Ch1-S,Ch2-D,PC3,PE4
2022-03-30T00:00:05.968689+00:00,0.37,0.34,0.04,0.12
2022-03-30T00:01:04.924603+00:00,0.36,0.29,0.04,0.11
2022-03-30T00:02:05.865737+00:00,0.35,0.29,0.05,0.11
2022-03-30T00:03:04.845007+00:00,0.44,0.22,0.03,0.11
2022-03-30T00:04:05.397763+00:00,0.58,0.22,0.06,0.12
2022-03-30T00:05:05.980147+00:00,0.35,0.25,0.05,0.11
2022-03-30T00:06:05.076468+00:00,0.54,0.21,0.04,0.12
2022-03-30T00:07:05.652564+00:00,0.38,0.22,0.04,0.11
2022-03-30T00:08:04.727063+00:00,0.31,0.23,0.02,0.11
2022-03-30T00:09:05.372982+00:00,0.54,0.21,0.04,0.12
2022-03-30T00:10:05.912040+00:00,0.39,0.2,0.06,0.1
2022-03-30T00:11:05.017765+00:00,0.4,0.23,0.04,0.11
2022-03-30T00:12:05.724544+00:00,0.36,0.24,0.11,0.13
2022-03-30T00:13:04.982279+00:00,0.58,0.28,0.05,0.11
2022-03-30T00:14:05.763780+00:00,0.36,0.26,0.06,0.11
2022-03-30T00:15:04.716578+00:00,0.54,0.44,0.05,0.12
2022-03-30T00:16:05.488343+00:00,0.33,0.3,0.07,0.24
2022-03-30T00:17:04.676083+00:00,0.41,0.32,0.07,0.14
2022-03-30T00:18:05.256787+00:00,0.4,0.28,0.04,0.1
2022-03-30T00:19:05.962792+00:00,0.37,0.21,0.03,0.11
2022-03-30T00:20:05.277648+00:00,0.33,0.23,0.06,0.18
2022-03-30T00:21:05.928551+00:00,0.4,0.31,0.07,0.11
2022-03-30T00:22:04.952399+00:00,0.35,0.2,0.05,0.1
2022-03-30T00:23:05.621714+00:00,0.31,0.26,0.07,0.11
2022-03-30T00:24:04.693550+00:00,0.39,0.23,0.04,0.12
2022-03-30T00:25:05.350845+00:00,0.31,0.35,0.05,0.11
2022-03-30T00:26:05.928869+00:00,0.35,0.22,0.07,0.11
2022-03-30T00:27:05.031147+00:00,0.53,0.21,0.06,0.13
2022-03-30T00:28:05.654942+00:00,0.33,0.21,0.04,0.11
2022-03-30T00:29:04.621717+00:00,0.4,0.22,0.02,0.13
2022-03-30T00:30:05.309382+00:00,0.39,0.22,0.06,0.13
2022-03-30T00:31:06.150065+00:00,0.37,0.27,0.02,0.13
2022-03-30T00:32:05.163168+00:00,0.3,0.2,0.04,0.1
2022-03-30T00:33:06.121179+00:00,0.39,0.21,0.03,0.14
2022-03-30T00:34:05.274335+00:00,0.39,0.28,0.05,0.14
2022-03-30T00:35:04.625811+00:00,0.36,0.27,0.04,0.12
2022-03-30T00:36:05.301173+00:00,0.43,0.3,0.04,0.11
2022-03-30T00:37:06.100718+00:00,0.36,0.21,0.07,0.12
2022-03-30T00:38:05.117235+00:00,0.42,0.21,0.05,0.2
2022-03-30T00:39:06.011687+00:00,0.39,0.29,0.04,0.1
2022-03-30T00:40:05.173775+00:00,0.36,0.24,0.03,0.17
2022-03-30T00:41:05.815727+00:00,0.41,0.31,0.03,0.12
2022-03-30T00:42:04.913271+00:00,0.31,0.23,0.03,0.2
2022-03-30T00:43:05.600368+00:00,0.34,0.24,0.06,0.13
2022-03-30T00:44:06.174796+00:00,0.42,0.19,0.05,0.12
2022-03-30T00:45:05.197928+00:00,0.36,0.23,0.02,0.11
2022-03-30T00:46:05.909059+00:00,0.45,0.28,0.04,0.11
2022-03-30T00:47:04.906515+00:00,0.36,0.22,0.05,0.14
2022-03-30T00:48:05.598951+00:00,0.39,0.24,0.07,0.11
2022-03-30T00:49:06.178042+00:00,0.35,0.23,0.05,0.11
2022-03-30T00:50:05.209093+00:00,0.46,0.28,0.06,0.12
2022-03-30T00:51:05.804138+00:00,0.34,0.25,0.04,0.12
2022-03-30T00:52:04.857999+00:00,0.46,0.32,0.06,0.18
2022-03-30T00:53:05.384632+00:00,0.4,0.25,0.06,0.13
2022-03-30T00:54:05.982928+00:00,0.43,0.23,0.06,0.11
2022-03-30T00:55:05.032046+00:00,0.33,0.25,0.04,0.17
2022-03-30T00:56:05.731479+00:00,0.37,0.28,0.01,0.12
2022-03-30T00:57:04.765482+00:00,0.38,0.22,0.07,0.1
2022-03-30T00:58:05.464534+00:00,0.44,0.41,0.04,0.13
2022-03-30T00:59:06.060320+00:00,0.36,0.23,0.06,0.1
2022-03-30T01:00:05.258326+00:00,0.35,0.24,0.06,0.13
2022-03-30T01:01:06.000571+00:00,0.32,0.23,0.07,0.13
2022-03-30T01:02:05.069240+00:00,0.4,0.29,0.02,0.18
2022-03-30T01:03:05.628260+00:00,0.33,0.24,0.08,0.13
2022-03-30T01:04:06.207945+00:00,0.36,0.35,0.05,0.13
2022-03-30T01:05:05.239452+00:00,0.51,0.26,0.06,0.15
2022-03-30T01:06:05.881012+00:00,0.29,0.27,0.04,0.11
2022-03-30T01:07:04.879741+00:00,0.36,0.39,0.06,0.12
2022-03-30T01:08:05.678155+00:00,0.3,0.29,0.04,0.1
2022-03-30T01:09:04.885289+00:00,0.34,0.31,0.02,0.11
2022-03-30T01:10:05.527375+00:00,0.37,0.3,0.04,0.11
2022-03-30T01:11:06.051025+00:00,0.34,0.23,0.03,0.1
2022-03-30T01:12:04.991019+00:00,0.35,0.27,0.02,0.11
2022-03-30T01:13:05.572941+00:00,0.39,0.24,0.04,0.17
2022-03-30T01:14:06.109422+00:00,0.49,0.23,0.04,0.14
2022-03-30T01:15:05.246241+00:00,0.35,0.22,0.02,0.13
2022-03-30T01:16:05.777606+00:00,0.33,0.29,0.05,0.12
2022-03-30T01:17:05.078242+00:00,0.42,0.28,0.04,0.12
2022-03-30T01:18:05.675018+00:00,0.32,0.26,0.04,0.1
2022-03-30T01:19:06.211260+00:00,0.34,0.34,0.03,0.15
2022-03-30T01:20:05.127734+00:00,0.5,0.33,0.05,0.13
2022-03-30T01:21:05.724629+00:00,0.47,0.22,0.09,0.13
2022-03-30T01:22:05.026939+00:00,0.45,0.28,0.05,0.17
